Hashtags,Fecha,Texto,Usuario,Followers,Respuestas,Retweets,Likes,Citados,Vistas,Idioma
"['8DeMarzo', 'DíaInternacionalDeLaMujer']",2023-03-07 14:02:09+00:00,En menos de 1 minuto te comparto por qué el #8DeMarzo es el #DíaInternacionalDeLaMujer: https://t.co/hvEnXVs2PG,kenialopezr,272408,75,130,368,3,11569.0,es
"['DíaInternacionalDeLaMujer', 'LaContraMañanera']",2023-03-06 19:08:31+00:00,"En el marco del #DíaInternacionalDeLaMujer, lo decimos claro:

Las mujeres en México necesitan seguridad, empleo y servicios de salud.

El gobierno de López Obrador tiene una deuda con las mujeres.

Aquí #LaContraMañanera:
https://t.co/Qw7MDTwCbP",kenialopezr,272408,70,168,453,0,7560.0,es
"['DiaInternacionalDeLaMujer', '8Marzo', '8M2023']",2023-03-06 15:30:29+00:00,"En el marco del #DiaInternacionalDeLaMujer es un gusto escuchar a la Gobernadora @MaruCampos_G en el programa de @CiroGomezL

Es una MUJER INTELIGENTE, CONGRUENTE Y TRABAJADORA 💜

Así debe ser, mujeres que generen el bien común, el bien de TODOS.

#8Marzo #8M2023 https://t.co/ssX9qbuMTR",kenialopezr,272408,49,93,370,3,13768.0,es
['DíaInternacionalDeLaMujer'],2023-03-06 02:21:18+00:00,"La CDMX es la 4a entidad más peligrosa para las mujeres.

Y todavía la jefa de gobierno, en el marco del #DíaInternacionalDeLaMujer, se dice la “voz de las mujeres”.

No tienen vergüenza.",kenialopezr,272408,484,1112,3435,34,62481.0,es
['8M2023'],2023-03-08 21:03:31+00:00,"Hoy @lopezobrador_ me agredió en su mañanera.

Está asustado porque sabe que las Mujeres lo sacaremos del gobierno.

Yo sí sé cómo solucionar los problemas de la CDMX. Sé cómo generar seguridad y transporte digno.

No me callará ni hoy #8M2023 ni nunca, aunque se atreva a esto: https://t.co/M9fbadxdgI",kenialopezr,272410,1396,1952,6027,141,185988.0,es
"['8DeMarzo', '8M2023']",2023-03-08 19:17:57+00:00,"Para: @lopezobrador_

No se espante por las Mujeres que LUCHAN.

Espántese por las que MUEREN.

#8DeMarzo #8M2023 https://t.co/ZmRJtI4Tkk",kenialopezr,272410,1386,2391,6937,120,297927.0,es
['8M2023'],2023-03-07 20:01:40+00:00,"En el #8M2023, @lopezobrador_ en lugar de tender puentes, levanta muros.

Demuestra que le tiene miedo a las Mujeres.

Presidente, no le saque. 

🔃 Comparte y digamos juntas: Con todo y muros NOS VAMOS A MANIFESTAR. https://t.co/z7F32u1Ef3",kenialopezr,272414,2471,2072,5729,201,465365.0,es
['8DeMarzo'],2023-03-09 00:38:59+00:00,"Desde Palacio Nacional nos echaron GAS PIMIENTA a las Mujeres que marchamos hoy #8DeMarzo ¿@lopezobrador_ éste es tu plan para las mujeres?

No nos vamos a rendir, no nos vas a detener: https://t.co/qi6PbG2OOh",kenialopezr,272609,5157,6422,14754,546,1134548.0,es
['8DeMarzo'],2023-03-08 13:25:43+00:00,"“La mujer que no defiende a la mujer tiene un sitio especial reservado en el infierno”.

A ti mujer, te digo: un honor estar a tu lado. #8DeMarzo https://t.co/YwAySrVR9a",Macarena_Olona,374854,1079,146,1039,162,289570.0,es
['DiaInternacionalDeLaMujer'],2023-03-08 13:09:28+00:00,No hay ninguna duda. #DiaInternacionalDeLaMujer https://t.co/tWyNWfDHW1,EiProfeta,515551,129,1969,11907,127,561589.0,es
['8M2023'],2023-03-07 16:39:46+00:00,"Ya se que te dara igual  @IbaiLlanos.
Pero mientras Coscu siga en la Velada , después de reconocer como publico una foto de una mujer desnuda y borracha.
No quiero saber de NADA de lo que hagas u organices.
Y espero que todo el mundo haga lo mismo .
  #8M2023 https://t.co/OPUjVOVjx4",ManoOrgulloso,1015,866,1119,12677,134,879346.0,es
['DíaInternacionalDeLaMujer'],2023-03-09 03:22:25+00:00,En el @Edomex reafirmamos nuestro compromiso con las mujeres. #DíaInternacionalDeLaMujer https://t.co/BP4xiDgP21,alfredodelmazo,1129951,151,2188,3540,91,54160.0,es
['DíaInternacionalDeLaMujer'],2023-03-08 19:18:51+00:00,"Hoy, #DíaInternacionalDeLaMujer, refrendamos nuestro mayor compromiso con las mujeres mexiquenses, reconociendo el esfuerzo, la determinación y la fuerza de sus acciones. https://t.co/aLcz0nnmhG",alfredodelmazo,1129955,207,2719,4320,133,73211.0,es
"['8M', '8DeMarzo']",2023-03-08 15:14:39+00:00,"🟣 Me encantaría saludar con entusiasmo a todas las mujeres en éste #8M, sin embargo, es un día triste para las Compañeras que habitamos la Política. Solidarizo con mi compañera @vivianadiputada e invito a todas mis colegas que se han sentido violentadas a decir BASTA! 
#8DeMarzo",Diputada_Arce,1216,2505,46,230,198,209941.0,es
"['8M2023', '8M', 'InternationalWomensDay', 'DiaInternacionalDeLaMujer']",2023-03-09 04:57:58+00:00,"Si tocan a una, respondemos todas 🔥💜💚
.
.
.
 #8M2023 #8M #InternationalWomensDay #DiaInternacionalDeLaMujer https://t.co/4EzuNGfFNN",NicolePerera,5280,3,1,163,0,7160.0,es
['8M2023'],2023-03-08 18:13:24+00:00,"Hoy más que nunca: LAS MUJERES TRANS, SON MUJERES. Y NO PIENSO DEBATIRLO. #8M2023 https://t.co/oDhldwpVFF",NicolePerera,5280,0,30,254,3,10244.0,es
['8M2023'],2023-03-08 15:41:53+00:00,"¿Qué harían, que normalmente no pueden hacer, si tuviéramos 24 horas sin hombres? 

Empiezo yo: 

Me encantaría poder salir a caminar sola de noche, con audífonos y que sea una experiencia de paz y no de constante miedo.

#8M2023",NicolePerera,5280,74,198,2057,74,126281.0,es
