Hashtags,Fecha,Texto,Usuario,Followers,Respuestas,Retweets,Likes,Citados,Vistas,Idioma
['DiaInternacionalDeLaMujer'],2023-03-08 18:52:52+00:00,"En el #DiaInternacionalDeLaMujer, un fragmento de “Teoría King Kong” (sello Literatura Ramdon House), el emblemático libro de la escritora francesa que se convirtió en un clásico del feminismo. 

https://t.co/PZPVcWGR18",elespectador,6690842,1,3,10,0,12969.0,es
['DiaInternacionalDeLaMujer'],2023-03-08 18:35:59+00:00,"El presidente Lula da Silva anunció este miércoles, #DiaInternacionalDeLaMujer, medidas para frenar este tipo de violencia.

https://t.co/AmnHls9zVj",elespectador,6690843,1,3,23,0,13508.0,es
['DiaInternacionalDeLaMujer'],2023-03-08 16:42:03+00:00,"Hasta las 4:00 p.m. de este 8 de marzo,  #DiaInternacionalDeLaMujer, las interesadas podrán asistir a la sede del Sena de Chapinero, ubicada en la carrera 13 #65 - 10, con hoja de vida en mano y aplicar a las ofertas. 

https://t.co/y1bn92roqj",elespectador,6690843,1,2,9,0,12613.0,es
['DiaInternacionalDeLaMujer'],2023-03-08 15:35:36+00:00,"#DiaInternacionalDeLaMujer  La propuesta hace parte del enfoque de género que incluye la reforma que presentará el Ministerio del Trabajo.
https://t.co/9HeTELZ0Ng",elespectador,6690848,7,5,18,0,10616.0,es
['DíaInternacionaldelaMujer'],2023-03-08 14:43:50+00:00,"En el #DíaInternacionaldelaMujer, la Secretaría Distrital de Seguridad hace un llamado a las bogotanas para que denuncien cualquier tipo de violencia de género.
https://t.co/AFFTZ2qanV",elespectador,6690852,3,4,7,0,10159.0,es
['DíaInternacionaldelaMujer'],2023-03-08 13:15:31+00:00,"Para el 8 de marzo, #DíaInternacionaldelaMujer, recorrimos las calles de Bogotá para escuchar a aquellas mujeres que enfrentan la realidad día a día. 

💬 Estos son algunos de sus testimonios.

https://t.co/UbEa0J2T0R",elespectador,6690855,1,1,12,1,10775.0,es
"['PortadaEE', 'DiaInternacionalDeLaMujer', '8M']",2023-03-08 11:34:40+00:00,"#PortadaEE | Recorrimos las calles de Bogotá para conversar con las mujeres diversas que habitan en ellas. 

En el #DiaInternacionalDeLaMujer nos hablaron sobre sus sueños, sus miedos, sus oficios y sobre lo que significa ser mujeres.💜 

#8M 

https://t.co/oacWmJbB0g https://t.co/18jURqMHAR",elespectador,6690855,3,16,57,0,61493.0,es
['8M2023'],2023-03-08 15:23:48+00:00,"#8M2023 Mujeres privadas de la libertad en varias cárceles formularon reclamos a la discusión de alivios y reforma al sistema carcelario y penitenciario, que se ha planteado en la mesa de negociaciones con el ELN.
https://t.co/ZPtAoXHqKT",elespectador,6690893,4,9,20,2,13561.0,es
['ElDespertador'],2023-03-08 11:22:33+00:00,"#ElDespertador ⏰ Para empezar el día bien informado, les contamos los hechos que serán noticia este 8 de marzo.

https://t.co/gXNUhe4YDS",elespectador,6691351,0,0,4,0,7281.0,es
"['LatinGRAMMY', 'DíaInternacionalDeLaMujer', 'WomensHistoryMonth']",2023-03-08 21:47:58+00:00,"Hoy las celebramos a ellas. Compositoras, cantantes, instrumentistas, ingenieras de sonido, productoras… gracias por colmar de excelencia nuestra música. ¡Feliz Día Internacional de la Mujer! ✨👏
#LatinGRAMMY #DíaInternacionalDeLaMujer #WomensHistoryMonth https://t.co/da9hguuhrT",LatinGRAMMYs,2918536,20,57,273,3,16480.0,es
