Hashtags,Fecha,Texto,Usuario,Followers,Respuestas,Retweets,Likes,Citados,Vistas,Idioma
"['8DeMarzo', 'DíaInternacionalDeLaMujer']",2023-03-07 14:02:09+00:00,En menos de 1 minuto te comparto por qué el #8DeMarzo es el #DíaInternacionalDeLaMujer: https://t.co/hvEnXVs2PG,kenialopezr,272408,75,130,368,3,11569.0,es
"['DíaInternacionalDeLaMujer', 'LaContraMañanera']",2023-03-06 19:08:31+00:00,"En el marco del #DíaInternacionalDeLaMujer, lo decimos claro:

Las mujeres en México necesitan seguridad, empleo y servicios de salud.

El gobierno de López Obrador tiene una deuda con las mujeres.

Aquí #LaContraMañanera:
https://t.co/Qw7MDTwCbP",kenialopezr,272408,70,168,453,0,7560.0,es
"['DiaInternacionalDeLaMujer', '8Marzo', '8M2023']",2023-03-06 15:30:29+00:00,"En el marco del #DiaInternacionalDeLaMujer es un gusto escuchar a la Gobernadora @MaruCampos_G en el programa de @CiroGomezL

Es una MUJER INTELIGENTE, CONGRUENTE Y TRABAJADORA 💜

Así debe ser, mujeres que generen el bien común, el bien de TODOS.

#8Marzo #8M2023 https://t.co/ssX9qbuMTR",kenialopezr,272408,49,93,370,3,13768.0,es
['DíaInternacionalDeLaMujer'],2023-03-06 02:21:18+00:00,"La CDMX es la 4a entidad más peligrosa para las mujeres.

Y todavía la jefa de gobierno, en el marco del #DíaInternacionalDeLaMujer, se dice la “voz de las mujeres”.

No tienen vergüenza.",kenialopezr,272408,484,1112,3435,34,62481.0,es
['8M2023'],2023-03-08 21:03:31+00:00,"Hoy @lopezobrador_ me agredió en su mañanera.

Está asustado porque sabe que las Mujeres lo sacaremos del gobierno.

Yo sí sé cómo solucionar los problemas de la CDMX. Sé cómo generar seguridad y transporte digno.

No me callará ni hoy #8M2023 ni nunca, aunque se atreva a esto: https://t.co/M9fbadxdgI",kenialopezr,272410,1396,1952,6027,141,185988.0,es
"['8DeMarzo', '8M2023']",2023-03-08 19:17:57+00:00,"Para: @lopezobrador_

No se espante por las Mujeres que LUCHAN.

Espántese por las que MUEREN.

#8DeMarzo #8M2023 https://t.co/ZmRJtI4Tkk",kenialopezr,272410,1386,2391,6937,120,297927.0,es
['8M2023'],2023-03-07 20:01:40+00:00,"En el #8M2023, @lopezobrador_ en lugar de tender puentes, levanta muros.

Demuestra que le tiene miedo a las Mujeres.

Presidente, no le saque. 

🔃 Comparte y digamos juntas: Con todo y muros NOS VAMOS A MANIFESTAR. https://t.co/z7F32u1Ef3",kenialopezr,272414,2471,2072,5729,201,465365.0,es
['8DeMarzo'],2023-03-09 00:38:59+00:00,"Desde Palacio Nacional nos echaron GAS PIMIENTA a las Mujeres que marchamos hoy #8DeMarzo ¿@lopezobrador_ éste es tu plan para las mujeres?

No nos vamos a rendir, no nos vas a detener: https://t.co/qi6PbG2OOh",kenialopezr,272609,5157,6422,14754,546,1134548.0,es
['8DeMarzo'],2023-03-08 13:25:43+00:00,"“La mujer que no defiende a la mujer tiene un sitio especial reservado en el infierno”.

A ti mujer, te digo: un honor estar a tu lado. #8DeMarzo https://t.co/YwAySrVR9a",Macarena_Olona,374854,1079,146,1039,162,289570.0,es
"['LibrosImprescindibles', 'DíaInternacionalDeLaMujer', 'EllasTienenLaPalabra', '8M2023']",2023-03-08 15:00:50+00:00,"Algunos #LibrosImprescindibles en el #DíaInternacionalDeLaMujer 💜📚👉 https://t.co/iqchYF9QSq
#EllasTienenLaPalabra #8M2023 https://t.co/af3DetD6no",casadellibro,203966,1,2,23,1,4326.0,es
"['DíaInternacionalDeLaMujer', 'EllasTienenLaPalabra', '8M2023']",2023-03-08 13:01:12+00:00,"La igualdad se educa 💪
Libros infantiles que celebran el #DíaInternacionalDeLaMujer.
Busca el que más se adapta a su edad 💜📚👉 https://t.co/bfQ5cwq0vv

#EllasTienenLaPalabra #8M2023 https://t.co/FydSoLRYbN",casadellibro,203963,1,4,21,0,4027.0,es
"['DíaInternacionalDeLaMujer', 'NacerNiña', 'EllasTienenLaPalabra']",2023-03-08 11:00:56+00:00,"La igualdad se educa.
Para el #DíaInternacionalDeLaMujer te recomendamos el libro infantil #NacerNiña, de Alice Dussutour 👉 https://t.co/AlYwR6SbGc
#EllasTienenLaPalabra https://t.co/B5XzRoMRqY",casadellibro,203963,0,3,12,0,2479.0,es
"['RetoLector', 'DíaInternacionalDeLaMujer', '8M2023']",2023-03-08 10:00:51+00:00,"¿Te animas con este #RetoLector? 👇
#DíaInternacionalDeLaMujer #8M2023 https://t.co/9sIgJ3COtn",casadellibro,203963,506,60,433,37,119067.0,es
"['DíaInternacionalDeLaMujer', 'EllasTienenLaPalabra', '8M2023', '8Marzo']",2023-03-08 09:00:48+00:00,"Libros para celebrar el #DíaInternacionalDeLaMujer 💜📚 
Compartimos contigo esta selección de títulos donde nosotras somos protagonistas 👉 https://t.co/SVyD15iVmD

#EllasTienenLaPalabra #8M2023 #8Marzo https://t.co/zWOqgLsagm",casadellibro,203963,2,3,21,0,3472.0,es
"['DíaInternacionalDeLaMujer', '8M2023', '8Marzo']",2023-03-08 08:00:55+00:00,"“No hay barrera, cerradura ni cerrojo que puedas imponer a la libertad de mi mente”.
Virginia Woolf
Feliz #DíaInternacionalDeLaMujer 🙆‍♀️

📸 Casa del Libro Gran Vía. Ilustración de Lady Desidia.
#8M2023 #8Marzo https://t.co/ZlXrNDlga4",casadellibro,203963,9,655,2151,22,104308.0,es
"['EllasTienenLaPalabra', 'Badajoz', 'DíadelaMujer', '8M2023']",2023-03-07 18:01:05+00:00,"#EllasTienenLaPalabra en Casa del Libro #Badajoz 👇
#DíadelaMujer #8M2023 https://t.co/XXHQCWkLv2",casadellibro,203967,0,3,22,0,4474.0,es
