Hashtags,Fecha,Texto,Usuario,Followers,Respuestas,Retweets,Likes,Citados,Vistas,Idioma
"['8DeMarzo', 'DíaInternacionalDeLaMujer']",2023-03-07 14:02:09+00:00,En menos de 1 minuto te comparto por qué el #8DeMarzo es el #DíaInternacionalDeLaMujer: https://t.co/hvEnXVs2PG,kenialopezr,272408,75,130,368,3,11569.0,es
"['DíaInternacionalDeLaMujer', 'LaContraMañanera']",2023-03-06 19:08:31+00:00,"En el marco del #DíaInternacionalDeLaMujer, lo decimos claro:

Las mujeres en México necesitan seguridad, empleo y servicios de salud.

El gobierno de López Obrador tiene una deuda con las mujeres.

Aquí #LaContraMañanera:
https://t.co/Qw7MDTwCbP",kenialopezr,272408,70,168,453,0,7560.0,es
"['DiaInternacionalDeLaMujer', '8Marzo', '8M2023']",2023-03-06 15:30:29+00:00,"En el marco del #DiaInternacionalDeLaMujer es un gusto escuchar a la Gobernadora @MaruCampos_G en el programa de @CiroGomezL

Es una MUJER INTELIGENTE, CONGRUENTE Y TRABAJADORA 💜

Así debe ser, mujeres que generen el bien común, el bien de TODOS.

#8Marzo #8M2023 https://t.co/ssX9qbuMTR",kenialopezr,272408,49,93,370,3,13768.0,es
['DíaInternacionalDeLaMujer'],2023-03-06 02:21:18+00:00,"La CDMX es la 4a entidad más peligrosa para las mujeres.

Y todavía la jefa de gobierno, en el marco del #DíaInternacionalDeLaMujer, se dice la “voz de las mujeres”.

No tienen vergüenza.",kenialopezr,272408,484,1112,3435,34,62481.0,es
['8M2023'],2023-03-08 21:03:31+00:00,"Hoy @lopezobrador_ me agredió en su mañanera.

Está asustado porque sabe que las Mujeres lo sacaremos del gobierno.

Yo sí sé cómo solucionar los problemas de la CDMX. Sé cómo generar seguridad y transporte digno.

No me callará ni hoy #8M2023 ni nunca, aunque se atreva a esto: https://t.co/M9fbadxdgI",kenialopezr,272410,1396,1952,6027,141,185988.0,es
"['8DeMarzo', '8M2023']",2023-03-08 19:17:57+00:00,"Para: @lopezobrador_

No se espante por las Mujeres que LUCHAN.

Espántese por las que MUEREN.

#8DeMarzo #8M2023 https://t.co/ZmRJtI4Tkk",kenialopezr,272410,1386,2391,6937,120,297927.0,es
['8M2023'],2023-03-07 20:01:40+00:00,"En el #8M2023, @lopezobrador_ en lugar de tender puentes, levanta muros.

Demuestra que le tiene miedo a las Mujeres.

Presidente, no le saque. 

🔃 Comparte y digamos juntas: Con todo y muros NOS VAMOS A MANIFESTAR. https://t.co/z7F32u1Ef3",kenialopezr,272414,2471,2072,5729,201,465365.0,es
['8DeMarzo'],2023-03-09 00:38:59+00:00,"Desde Palacio Nacional nos echaron GAS PIMIENTA a las Mujeres que marchamos hoy #8DeMarzo ¿@lopezobrador_ éste es tu plan para las mujeres?

No nos vamos a rendir, no nos vas a detener: https://t.co/qi6PbG2OOh",kenialopezr,272609,5157,6422,14754,546,1134548.0,es
['DiaInternacionalDeLaMujer'],2023-03-08 13:09:28+00:00,No hay ninguna duda. #DiaInternacionalDeLaMujer https://t.co/tWyNWfDHW1,EiProfeta,515551,129,1969,11907,127,561589.0,es
['8M2023'],2023-03-07 16:39:46+00:00,"Ya se que te dara igual  @IbaiLlanos.
Pero mientras Coscu siga en la Velada , después de reconocer como publico una foto de una mujer desnuda y borracha.
No quiero saber de NADA de lo que hagas u organices.
Y espero que todo el mundo haga lo mismo .
  #8M2023 https://t.co/OPUjVOVjx4",ManoOrgulloso,1015,866,1119,12677,134,879346.0,es
['DíaInternacionalDeLaMujer'],2023-03-09 03:22:25+00:00,En el @Edomex reafirmamos nuestro compromiso con las mujeres. #DíaInternacionalDeLaMujer https://t.co/BP4xiDgP21,alfredodelmazo,1129951,151,2188,3540,91,54160.0,es
['DíaInternacionalDeLaMujer'],2023-03-08 19:18:51+00:00,"Hoy, #DíaInternacionalDeLaMujer, refrendamos nuestro mayor compromiso con las mujeres mexiquenses, reconociendo el esfuerzo, la determinación y la fuerza de sus acciones. https://t.co/aLcz0nnmhG",alfredodelmazo,1129955,207,2719,4320,133,73211.0,es
['DiaInternacionalDeLaMujer'],2023-03-08 21:22:51+00:00,"Nuestro reconocimiento amoroso y admiración para las mujeres trabajadoras del @ComunasVE_. Gracias por su constancia, su fuerza, su capacidad de resistencia y su amor por el Poder Popular. #DiaInternacionalDeLaMujer https://t.co/xjFKGvBDFg",jaarreaza,1856884,16,1141,290,65,9874.0,es
"['8Mar', 'DíaInternacionalDeLaMujer', 'ChávezFeminista']",2023-03-09 01:06:32+00:00,"La noche de este #8Mar reinauguramos la Plaza de la Mujer, en Los Símbolos, parroquia San Pedro, a propósito del #DíaInternacionalDeLaMujer

Un nuevo logro de esta comunidad y en especial de las mujeres, quienes solicitaron la recuperación de estos espacios.

#ChávezFeminista https://t.co/l3z8nmVuS4",gestionperfecta,690953,4,505,112,15,3583.0,es
"['DíaInternacionalDeLaMujer', 'ChávezFeminista']",2023-03-08 23:57:29+00:00,"En la Plaza de la Moneda del @BCV_ORG_VE, en el Centro de Caracas, nos concentramos junto a guerreras de nuestra ciudad capital, en el #DíaInternacionalDeLaMujer

Compartimos una Tribuna Antiimperialista, en la que recordamos a nuestro amado Comandante #ChávezFeminista https://t.co/QWZeoJqUya",gestionperfecta,690953,1,509,101,11,3630.0,es
"['DíaInternacionalDeLaMujer', 'ChávezFeminista']",2023-03-08 16:22:04+00:00,"En este #DíaInternacionalDeLaMujer felicito muy especialmente a las profesionales de la salud y a las lideresas de las comunidades, porque como un solo equipo, junto al @MinSaludVE, estamos recuperando los 720 espacios de este tipo que tenemos en Caracas

#ChávezFeminista https://t.co/3Ocz30nJP3",gestionperfecta,690958,3,946,149,34,6635.0,es
