Hashtags,Fecha,Texto,Usuario,Followers,Respuestas,Retweets,Likes,Citados,Vistas,Idioma,Rango Retweets,Rango Likes,Rango Respuestas,Rango Citados,Rango Vistas,Rango Total
"['DíaInternacionalDeLaMujer', 'Mephaa', '8M', 'InésFernándezOrtega']",2023-03-09 02:32:57+00:00,"En el #DíaInternacionalDeLaMujer ""una mujer #Mephaa le ganó la batalla al poder militar"". 

Este #8M 💜 #InésFernándezOrtega logró que fuera condenado uno de los once militares que la agredieron sexualmente hace más de 20 años.
👉https://t.co/78l6XhjnSO",IMER_Noticias,39458,1,1,6,0,283.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['feminicidio', 'Zócalo', '8M', 'DíaInternacionalDeLaMujer']",2023-03-08 22:53:41+00:00,"Al grito de ""¡No estás sola!, las mujeres se solidarizan con las madres de víctimas de #feminicidio para que lleguen al #Zócalo 🌆.
📹: @hazelzamm 

#8M #DíaInternacionalDeLaMujer 💜 https://t.co/Mnz8CvsrOL",IMER_Noticias,39458,0,8,10,1,592.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['8M', '8DeMarzo', 'DíaInternacionalDeLaMujer']",2023-03-08 22:49:19+00:00,"La música también convoca a seguir la lucha este #8M 

No hay revolución sin ella. Así suenan las batucadas feministas este #8DeMarzo 
#DíaInternacionalDeLaMujer 💜
📹: @hazelzamm https://t.co/9P5lmIwSGg",IMER_Noticias,39458,0,8,10,0,513.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['8M', 'DíaInternacionalDeLaMujer', 'CDMX', 'IMERNoticias']",2023-03-08 22:14:56+00:00,"Acompaña a las diferentes colectivas y contingentes este #8M 💜 #DíaInternacionalDeLaMujer en las marchas en #CDMX de mano del equipo de nuestras reporteras en el minuto a minuto de #IMERNoticias  

📻https://t.co/gQhMj0uG2K",IMER_Noticias,39458,0,1,3,0,281.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['ElDato', 'SegundaEmisión', '8M2023']",2023-03-09 20:37:31+00:00,"🔎 #ElDato || Durante 2022, los derechos más violados de las mujeres fueron la protección a la salud, seguridad jurídica e igualdad.

📻 #SegundaEmisión con @patybetaza 
🟣 #8M2023 https://t.co/wBiEN6jcW8",IMER_Noticias,39459,0,4,0,0,389.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
['8M2023'],2023-03-09 13:58:19+00:00,"Las mujeres pintaron de morado 💜 las calles de la Ciudad de México este #8M2023 ✊🪧 

Acá puedes ver las mejores imágenes de la jornada 📸:

➡️ https://t.co/25sm9E8vgo https://t.co/q9MfnzdeQa",IMER_Noticias,39459,0,3,2,0,450.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['8M2023', 'ChingonasSound']",2023-03-08 21:04:25+00:00,"🟣 #8M2023 || Las colectivas #ChingonasSound y @ResistePedal montaron un sonido autogestivo para ambientar la marcha a la altura de la Antimonumenta. Para ellas, la lucha también implica gozo y baile.

📹: @aurapaog https://t.co/fmlrwopkgJ",IMER_Noticias,39459,1,2,5,0,336.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['8M2023', 'LasSabrinas']",2023-03-08 21:01:51+00:00,"🟣 #8M2023 || La colectiva #LasSabrinas visibiliza la violencia sexual. Por ello, invitan a las mujeres a dejar una huella en una manta para recordarle a las víctimas de esta violencia que no están solas.

📹: @hazelzamm https://t.co/MflSthdWhs",IMER_Noticias,39459,2,0,3,0,239.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['ElDato', 'SegundaEmisión', '8M2023']",2023-03-08 20:44:44+00:00,"🔎 #ElDato || El 70.1% de las mujeres en México ha vivido al menos un incidente de violencia. Actualmente, once mujeres son asesinadas al día.
 
📻 #SegundaEmisión con @patybetaza
🟣 #8M2023 https://t.co/gWPxOlYJdE",IMER_Noticias,39459,0,2,7,0,360.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
['8M2023'],2023-03-08 20:29:10+00:00,"🟣 #8M2023 || Contingentes de mujeres, estudiantes, familiares de víctimas de violencia siguen llegando a la Glorieta de las Mujeres que Luchan.

Cantan “Vivir Sin Miedo”, la canción de Vivir Quintana que se ha convertido en un himno del feminismo.

📹: @hazelzamm https://t.co/owDeSY0zHy",IMER_Noticias,39459,2,6,18,1,946.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['8M2023', 'JódeteCáncer', '8M']",2023-03-08 20:10:25+00:00,"🟣 #8M2023 || @sandra_monroy, fundadora de la colectiva #JódeteCáncer, comparte que es la primera vez que las pacientes oncológicas se unen a las manifestaciones del #8M para visibilizar que el cáncer de mama es la primera causa de muerte por cánceres en México.

📹: @hazelzamm https://t.co/yMxs40S8P4",IMER_Noticias,39459,1,10,28,2,1216.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['8M2023', '8M']",2023-03-08 19:32:18+00:00,"🟣 #8M2023 || ¿Qué representa el #8M y qué pasará un día después?

Las activistas feministas Alejandra López, @AngieConter y @CrissSantana1 respondieron a estas preguntas. Escucha sus voces:

https://t.co/M8fRvJIozz",IMER_Noticias,39459,0,2,2,0,330.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['8M2023', 'NiUnaMenos', 'NiUnaMás']",2023-03-08 19:15:04+00:00,"🟣 #8M2023 || Comienzan a avanzar los primeros contingentes feministas en la avenida de la Reforma.

#NiUnaMenos 
#NiUnaMás 

📹: @hazelzamm https://t.co/iGGOaYsyei",IMER_Noticias,39459,1,2,19,0,858.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['8M2023', 'Marcha8M']",2023-03-08 18:42:34+00:00,"🟣 #8M2023 || Estos son algunos de los carteles que llevan las mujeres que participarán en la #Marcha8M en la Ciudad de México.

📸: @karentlali https://t.co/jRAFxhvaJf",IMER_Noticias,39459,4,5,25,1,1799.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['8M2023', 'Marcha8M']",2023-03-08 18:38:56+00:00,"🟣 #8M2023 || Decenas de mujeres cantan durante su trayecto hacia los puntos donde se concentrarán los contingentes de la #Marcha8M. 

📹: @hazelzamm https://t.co/8wlBRQuNhH",IMER_Noticias,39459,11,145,872,10,39314.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
['8M2023'],2023-03-08 17:29:15+00:00,"🟣 #8M2023 || Entre selfies, abrazos y felicitaciones, gobernadoras, funcionarias y legisladoras de @PartidoMorenaMx llegaron al Patio Central de Palacio Nacional para la conmemoración del Día Internacional de la Mujer.

📹: @adrianaesthela https://t.co/1vi0kCK775",IMER_Noticias,39459,1,1,2,0,341.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['AlMomento', '8M2023']",2023-03-08 16:51:41+00:00,"#AlMomento || Inés Fernández, sobreviviente de tortura sexual, comparte su lucha de más de 20 años para lograr la sentencia condenatoria en contra de uno de los militares que la agredió.

🟣 #8M2023 https://t.co/uXFtQaAlka",IMER_Noticias,39459,2,6,16,1,898.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
['8M2023'],2023-03-08 16:02:33+00:00,"Clases de defensa personal, ciclos de cine y diversos talleres forman parte de las actividades del 🟣#8M2023. 

Te compartimos la agenda 🗓️: 

https://t.co/Ox867sVJd6",IMER_Noticias,39459,0,2,3,0,527.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
